host_ip,rssi_dbm,dist_m
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-51.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-50.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
172.20.10.4,-49.00,0.750
