host_ip,rssi_dbm,dist_m
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-67.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
172.20.10.3,-68.00,6.000
