event,host_time,src_ip,src_port,key,pi_name,payload_ts,rssi_dbm,agg_mode,agg_N,dist_m,rssi_mean
RAW,1761205297.957,10.128.97.1,41821,A,raspberrypi,1761205301.046,-33.2,,,,
RAW,1761205298.469,10.128.97.1,41821,A,raspberrypi,1761205301.547,-28.9,,,,
RAW,1761205298.92,10.128.97.1,41821,A,raspberrypi,1761205302.048,-30.3,,,,
RAW,1761205299.494,10.128.97.1,41821,A,raspberrypi,1761205302.549,-29.7,,,,
RAW,1761205300.108,10.128.97.1,41821,A,raspberrypi,1761205303.05,-26.4,,,,
RAW,1761205300.517,10.128.97.1,41821,A,raspberrypi,1761205303.551,-25.6,,,,
RAW,1761205300.929,10.128.97.1,41821,A,raspberrypi,1761205304.051,-23.6,,,,
LEG_VAST,1761205301.361,,,A,raspberrypi,,,mean,20,0.5,-34.74
RAW,1761205301.441,10.128.97.1,41821,A,raspberrypi,1761205304.552,-24.4,,,0.5,
RAW,1761205301.951,10.128.97.1,41821,A,raspberrypi,1761205305.053,-28.9,,,0.5,
RAW,1761205302.463,10.128.97.1,41821,A,raspberrypi,1761205305.554,-29,,,0.5,
RAW,1761205302.975,10.128.97.1,41821,A,raspberrypi,1761205306.055,-29.5,,,0.5,
RAW,1761205303.486,10.128.97.1,41821,A,raspberrypi,1761205306.556,-30,,,0.5,
RAW,1761205303.975,10.128.97.1,41821,A,raspberrypi,1761205307.057,-25.2,,,0.5,
RAW,1761205304.511,10.128.97.1,41821,A,raspberrypi,1761205307.558,-24.2,,,0.5,
RAW,1761205305.024,10.128.97.1,41821,A,raspberrypi,1761205308.059,-28.9,,,0.5,
RAW,1761205305.433,10.128.97.1,41821,A,raspberrypi,1761205308.56,-30,,,0.5,
RAW,1761205305.944,10.128.97.1,41821,A,raspberrypi,1761205309.061,-29.2,,,0.5,
RAW,1761205306.563,10.128.97.1,41821,A,raspberrypi,1761205309.562,-28.4,,,0.5,
RAW,1761205306.969,10.128.97.1,41821,A,raspberrypi,1761205310.063,-26.1,,,0.5,
RAW,1761205307.481,10.128.97.1,41821,A,raspberrypi,1761205310.564,-21.7,,,0.5,
RAW,1761205307.994,10.128.97.1,41821,A,raspberrypi,1761205311.064,-24.4,,,0.5,
RAW,1761205308.506,10.128.97.1,41821,A,raspberrypi,1761205311.565,-28.9,,,0.5,
RAW,1761205309.017,10.128.97.1,41821,A,raspberrypi,1761205312.066,-28,,,0.5,
RAW,1761205309.57,10.128.97.1,41821,A,raspberrypi,1761205312.567,-27.6,,,0.5,
RAW,1761205309.941,10.128.97.1,41821,A,raspberrypi,1761205313.068,-28,,,0.5,
RAW,1761205310.452,10.128.97.1,41821,A,raspberrypi,1761205313.569,-22.2,,,0.5,
RAW,1761205310.963,10.128.97.1,41821,A,raspberrypi,1761205314.07,-22,,,0.5,
RAW,1761205311.577,10.128.97.1,41821,A,raspberrypi,1761205314.571,-25.6,,,0.5,
