event,host_time,src_ip,src_port,key,pi_name,payload_ts,rssi_dbm,agg_mode,agg_N,dist_m,rssi_mean
RAW,1761205048.322,10.128.97.229,40085,A,raspberrypi,1761205051.461,-27.2,,,,
RAW,1761205048.921,10.128.97.229,40085,A,raspberrypi,1761205051.961,-23,,,,
LEG_VAST,1761205049.223,,,A,raspberrypi,,,mean,20,0.5,-23.6
RAW,1761205049.331,10.128.97.229,40085,A,raspberrypi,1761205052.462,-22,,,0.5,
RAW,1761205050.048,10.128.97.229,40085,A,raspberrypi,1761205052.963,-23.6,,,0.5,
RAW,1761205050.459,10.128.97.229,40085,A,raspberrypi,1761205053.463,-23.2,,,0.5,
RAW,1761205050.883,10.128.97.229,40085,A,raspberrypi,1761205053.964,-24.8,,,0.5,
RAW,1761205051.483,10.128.97.229,40085,A,raspberrypi,1761205054.464,-25,,,0.5,
RAW,1761205051.892,10.128.97.229,40085,A,raspberrypi,1761205054.965,-24.2,,,0.5,
RAW,1761205052.609,10.128.97.229,40085,A,raspberrypi,1761205055.466,-26.6,,,0.5,
RAW,1761205052.916,10.128.97.229,40085,A,raspberrypi,1761205055.966,-36.6,,,0.5,
RAW,1761205053.427,10.128.97.229,40085,A,raspberrypi,1761205056.467,-49.4,,,0.5,
RAW,1761205053.942,10.128.97.229,40085,A,raspberrypi,1761205056.967,-47.4,,,0.5,
RAW,1761205054.402,10.128.97.229,40085,A,raspberrypi,1761205057.468,-43.8,,,0.5,
RAW,1761205054.887,10.128.97.229,40085,A,raspberrypi,1761205057.968,-45.2,,,0.5,
LEG_VAST,1761205055.145,,,A,raspberrypi,,,mean,20,1,-28.83
RAW,1761205055.374,10.128.97.229,40085,A,raspberrypi,1761205058.469,-41,,,1,
RAW,1761205055.844,10.128.97.229,40085,A,raspberrypi,1761205058.97,-38.2,,,1,
RAW,1761205056.398,10.128.97.229,40085,A,raspberrypi,1761205059.47,-40.8,,,1,
RAW,1761205056.909,10.128.97.229,40085,A,raspberrypi,1761205059.971,-38.5,,,1,
RAW,1761205057.423,10.128.97.229,40085,A,raspberrypi,1761205060.471,-40.4,,,1,
RAW,1761205057.933,10.128.97.229,40085,A,raspberrypi,1761205060.972,-43.7,,,1,
RAW,1761205058.357,10.128.97.229,40085,A,raspberrypi,1761205061.473,-43.2,,,1,
RAW,1761205058.904,10.128.97.229,40085,A,raspberrypi,1761205061.973,-45,,,1,
RAW,1761205059.479,10.128.97.229,40085,A,raspberrypi,1761205062.474,-49.9,,,1,
RAW,1761205059.983,10.128.97.229,40085,A,raspberrypi,1761205062.975,-52.8,,,1,
RAW,1761205060.391,10.128.97.229,40085,A,raspberrypi,1761205063.475,-52.8,,,1,
RAW,1761205061.053,10.128.97.229,40085,A,raspberrypi,1761205063.976,-54.5,,,1,
RAW,1761205061.426,10.128.97.229,40085,A,raspberrypi,1761205064.476,-54.7,,,1,
RAW,1761205061.927,10.128.97.229,40085,A,raspberrypi,1761205064.977,-52.5,,,1,
RAW,1761205062.441,10.128.97.229,40085,A,raspberrypi,1761205065.478,-56.1,,,1,
RAW,1761205062.852,10.128.97.229,40085,A,raspberrypi,1761205065.978,-56,,,1,
LEG_VAST,1761205063.239,,,A,raspberrypi,,,mean,20,1.5,-47.3
RAW,1761205063.361,10.128.97.229,40085,A,raspberrypi,1761205066.479,-54,,,1.5,
RAW,1761205063.844,10.128.97.229,40085,A,raspberrypi,1761205066.979,-53.8,,,1.5,
RAW,1761205064.431,10.128.97.229,40085,A,raspberrypi,1761205067.48,-51.4,,,1.5,
RAW,1761205064.849,10.128.97.229,40085,A,raspberrypi,1761205067.981,-49.8,,,1.5,
RAW,1761205065.411,10.128.97.229,40085,A,raspberrypi,1761205068.481,-51.2,,,1.5,
RAW,1761205065.922,10.128.97.229,40085,A,raspberrypi,1761205068.982,-53.5,,,1.5,
RAW,1761205066.438,10.128.97.229,40085,A,raspberrypi,1761205069.482,-55.3,,,1.5,
RAW,1761205066.945,10.128.97.229,40085,A,raspberrypi,1761205069.983,-56.3,,,1.5,
RAW,1761205067.453,10.128.97.229,40085,A,raspberrypi,1761205070.484,-55.4,,,1.5,
RAW,1761205067.866,10.128.97.229,40085,A,raspberrypi,1761205070.984,-51.6,,,1.5,
LEG_VAST,1761205068.431,,,A,raspberrypi,,,mean,20,2,-52.49
RAW,1761205068.483,10.128.97.229,40085,A,raspberrypi,1761205071.485,-51.2,,,2,
RAW,1761205068.893,10.128.97.229,40085,A,raspberrypi,1761205071.985,-56.2,,,2,
RAW,1761205069.609,10.128.97.229,40085,A,raspberrypi,1761205072.486,-60.7,,,2,
RAW,1761205069.914,10.128.97.229,40085,A,raspberrypi,1761205072.987,-59.2,,,2,
RAW,1761205070.531,10.128.97.229,40085,A,raspberrypi,1761205073.487,-59.2,,,2,
RAW,1761205070.938,10.128.97.229,40085,A,raspberrypi,1761205073.988,-59.4,,,2,
RAW,1761205071.459,10.128.97.229,40085,A,raspberrypi,1761205074.489,-55,,,2,
RAW,1761205071.948,10.128.97.229,40085,A,raspberrypi,1761205074.989,-57.5,,,2,
RAW,1761205072.373,10.128.97.229,40085,A,raspberrypi,1761205075.49,-62.3,,,2,
RAW,1761205072.883,10.128.97.229,40085,A,raspberrypi,1761205075.99,-63,,,2,
RAW,1761205073.397,10.128.97.229,40085,A,raspberrypi,1761205076.491,-64,,,2,
RAW,1761205073.913,10.128.97.229,40085,A,raspberrypi,1761205076.991,-60.1,,,2,
LEG_VAST,1761205074.326,,,A,raspberrypi,,,mean,20,2.5,-56.61
RAW,1761205074.42,10.128.97.229,40085,A,raspberrypi,1761205077.492,-52.4,,,2.5,
RAW,1761205074.933,10.128.97.229,40085,A,raspberrypi,1761205077.993,-52.9,,,2.5,
RAW,1761205075.443,10.128.97.229,40085,A,raspberrypi,1761205078.493,-57.3,,,2.5,
RAW,1761205075.956,10.128.97.229,40085,A,raspberrypi,1761205078.994,-62.3,,,2.5,
RAW,1761205076.365,10.128.97.229,40085,A,raspberrypi,1761205079.495,-64,,,2.5,
RAW,1761205076.924,10.128.97.229,40085,A,raspberrypi,1761205079.995,-63.9,,,2.5,
RAW,1761205077.359,10.128.97.229,40085,A,raspberrypi,1761205080.496,-58.5,,,2.5,
RAW,1761205077.859,10.128.97.229,40085,A,raspberrypi,1761205080.996,-51.8,,,2.5,
RAW,1761205078.415,10.128.97.229,40085,A,raspberrypi,1761205081.497,-54.4,,,2.5,
LEG_VAST,1761205078.618,,,A,raspberrypi,,,mean,20,3,-58.71
