event,host_time,src_ip,src_port,key,pi_name,payload_ts,rssi_dbm,agg_mode,agg_N,dist_m,rssi_mean
RAW,1761204624.275,10.128.97.90,41000,A,raspberrypi,1761204627.287,-31,,,,
RAW,1761204624.794,10.128.97.90,41000,A,raspberrypi,1761204627.788,-30.6,,,,
RAW,1761204625.197,10.128.97.90,41000,A,raspberrypi,1761204628.29,-27.6,,,,
RAW,1761204625.707,10.128.97.90,41000,A,raspberrypi,1761204628.789,-26.6,,,,
RAW,1761204626.221,10.128.97.90,41000,A,raspberrypi,1761204629.29,-26,,,,
RAW,1761204626.735,10.128.97.90,41000,A,raspberrypi,1761204629.79,-26,,,,
RAW,1761204627.246,10.128.97.90,41000,A,raspberrypi,1761204630.291,-26,,,,
RAW,1761204627.755,10.128.97.90,41000,A,raspberrypi,1761204630.791,-26.6,,,,
LEG_VAST,1761204627.948,,,A,raspberrypi,,,mean,20,0.5,-27.82
RAW,1761204628.297,10.128.97.90,41000,A,raspberrypi,1761204631.292,-28.7,,,0.5,
RAW,1761204628.78,10.128.97.90,41000,A,raspberrypi,1761204631.793,-24.5,,,0.5,
RAW,1761204629.291,10.128.97.90,41000,A,raspberrypi,1761204632.293,-20.4,,,0.5,
RAW,1761204629.7,10.128.97.90,41000,A,raspberrypi,1761204632.794,-23,,,0.5,
RAW,1761204630.215,10.128.97.90,41000,A,raspberrypi,1761204633.295,-26.8,,,0.5,
RAW,1761204630.726,10.128.97.90,41000,A,raspberrypi,1761204633.795,-28.2,,,0.5,
RAW,1761204631.24,10.128.97.90,41000,A,raspberrypi,1761204634.294,-29,,,0.5,
RAW,1761204631.749,10.128.97.90,41000,A,raspberrypi,1761204634.796,-25.2,,,0.5,
RAW,1761204632.261,10.128.97.90,41000,A,raspberrypi,1761204635.297,-20.5,,,0.5,
RAW,1761204632.874,10.128.97.90,41000,A,raspberrypi,1761204635.797,-20.8,,,0.5,
RAW,1761204633.286,10.128.97.90,41000,A,raspberrypi,1761204636.298,-25.3,,,0.5,
RAW,1761204633.692,10.128.97.90,41000,A,raspberrypi,1761204636.799,-32.4,,,0.5,
RAW,1761204634.205,10.128.97.90,41000,A,raspberrypi,1761204637.299,-39.6,,,0.5,
RAW,1761204634.719,10.128.97.90,41000,A,raspberrypi,1761204637.8,-39.4,,,0.5,
RAW,1761204635.232,10.128.97.90,41000,A,raspberrypi,1761204638.3,-33.4,,,0.5,
RAW,1761204635.767,10.128.97.90,41000,A,raspberrypi,1761204638.801,-30.2,,,0.5,
RAW,1761204636.256,10.128.97.90,41000,A,raspberrypi,1761204639.302,-31.2,,,0.5,
RAW,1761204636.769,10.128.97.90,41000,A,raspberrypi,1761204639.802,-31.6,,,0.5,
RAW,1761204637.28,10.128.97.90,41000,A,raspberrypi,1761204640.3,-32.2,,,0.5,
RAW,1761204637.792,10.128.97.90,41000,A,raspberrypi,1761204640.804,-32.6,,,0.5,
RAW,1761204638.2,10.128.97.90,41000,A,raspberrypi,1761204641.304,-32,,,0.5,
RAW,1761204638.713,10.128.97.90,41000,A,raspberrypi,1761204641.805,-32.2,,,0.5,
RAW,1761204639.227,10.128.97.90,41000,A,raspberrypi,1761204642.305,-33,,,0.5,
RAW,1761204639.743,10.128.97.90,41000,A,raspberrypi,1761204642.806,-36.7,,,0.5,
RAW,1761204640.251,10.128.97.90,41000,A,raspberrypi,1761204643.306,-37.5,,,0.5,
LEG_VAST,1761204640.445,,,A,raspberrypi,,,mean,20,1,-31.15
RAW,1761204640.774,10.128.97.90,41000,A,raspberrypi,1761204643.807,-37.7,,,1,
RAW,1761204641.196,10.128.97.90,41000,A,raspberrypi,1761204644.308,-36.4,,,1,
RAW,1761204641.69,10.128.97.90,41000,A,raspberrypi,1761204644.808,-30.9,,,1,
RAW,1761204642.299,10.128.97.90,41000,A,raspberrypi,1761204645.309,-29.2,,,1,
RAW,1761204642.807,10.128.97.90,41000,A,raspberrypi,1761204645.809,-30.4,,,1,
RAW,1761204643.219,10.128.97.90,41000,A,raspberrypi,1761204646.307,-33.4,,,1,
RAW,1761204643.731,10.128.97.90,41000,A,raspberrypi,1761204646.81,-34.7,,,1,
RAW,1761204644.272,10.128.97.90,41000,A,raspberrypi,1761204647.311,-30.8,,,1,
RAW,1761204644.759,10.128.97.90,41000,A,raspberrypi,1761204647.812,-28.7,,,1,
RAW,1761204645.269,10.128.97.90,41000,A,raspberrypi,1761204648.312,-29.7,,,1,
RAW,1761204645.782,10.128.97.90,41000,A,raspberrypi,1761204648.813,-38.2,,,1,
RAW,1761204646.294,10.128.97.90,41000,A,raspberrypi,1761204649.313,-41,,,1,
RAW,1761204646.804,10.128.97.90,41000,A,raspberrypi,1761204649.814,-41,,,1,
RAW,1761204647.215,10.128.97.90,41000,A,raspberrypi,1761204650.315,-40.8,,,1,
RAW,1761204647.724,10.128.97.90,41000,A,raspberrypi,1761204650.815,-35.2,,,1,
RAW,1761204648.236,10.128.97.90,41000,A,raspberrypi,1761204651.316,-31.8,,,1,
