host_ip,rssi_dbm,dist_m
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-36.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
172.20.10.2,-35.00,0.250
