ts,key,dist_m,rssi_dbm
1761205049,A,0.500,-23.60
1761205055,A,1.000,-28.83
1761205063,A,1.500,-47.30
1761205068,A,2.000,-52.49
1761205074,A,2.500,-56.61
1761205078,A,3.000,-58.71
1761205083,A,3.500,-56.77
1761205089,A,4.000,-56.01
1761205097,A,4.500,-59.60
1761205104,A,5.000,-60.44
1761205111,A,5.500,-58.38
1761205117,A,6.000,-58.30
1761205123,A,6.500,-58.06
1761205131,A,7.000,-59.10
1761205136,A,7.500,-59.62
1761205140,A,8.000,-60.15
1761205146,A,8.500,-59.86
1761205154,A,9.000,-63.14
1761205161,A,9.500,-64.21
1761205169,A,10.000,-59.48
