ts,key,dist_m,rssi_dbm
1761204627,A,0.500,-27.82
1761204640,A,1.000,-31.15
1761204648,A,1.500,-34.46
1761204656,A,2.000,-45.05
1761204662,A,2.500,-53.54
1761204669,A,3.000,-51.47
1761204678,A,3.500,-50.20
1761204691,A,4.000,-63.23
1761204698,A,4.500,-62.57
1761204705,A,5.000,-58.52
1761204718,A,5.500,-53.92
1761204726,A,6.000,-54.10
1761204732,A,6.500,-56.73
1761204738,A,7.000,-58.84
1761204746,A,7.500,-61.65
1761204754,A,8.000,-59.21
1761204760,A,8.500,-58.77
1761204768,A,9.000,-62.82
1761204774,A,9.500,-60.02
1761204781,A,10.000,-59.12
