event,host_time,src_ip,src_port,key,pi_name,payload_ts,rssi_dbm,agg_mode,agg_N,dist_m,rssi_mean
RAW,1761205297.957,10.128.97.1,41821,A,raspberrypi,1761205301.046,-33.20,,,,
RAW,1761205298.469,10.128.97.1,41821,A,raspberrypi,1761205301.547,-28.90,,,,
RAW,1761205298.920,10.128.97.1,41821,A,raspberrypi,1761205302.048,-30.30,,,,
RAW,1761205299.494,10.128.97.1,41821,A,raspberrypi,1761205302.549,-29.70,,,,
RAW,1761205300.108,10.128.97.1,41821,A,raspberrypi,1761205303.050,-26.40,,,,
RAW,1761205300.517,10.128.97.1,41821,A,raspberrypi,1761205303.551,-25.60,,,,
RAW,1761205300.929,10.128.97.1,41821,A,raspberrypi,1761205304.051,-23.60,,,,
LEG_VAST,1761205301.361,,,A,raspberrypi,,,mean,20,0.500,-34.74
RAW,1761205301.441,10.128.97.1,41821,A,raspberrypi,1761205304.552,-24.40,,,,
RAW,1761205301.951,10.128.97.1,41821,A,raspberrypi,1761205305.053,-28.90,,,,
RAW,1761205302.463,10.128.97.1,41821,A,raspberrypi,1761205305.554,-29.00,,,,
RAW,1761205302.975,10.128.97.1,41821,A,raspberrypi,1761205306.055,-29.50,,,,
RAW,1761205303.486,10.128.97.1,41821,A,raspberrypi,1761205306.556,-30.00,,,,
RAW,1761205303.975,10.128.97.1,41821,A,raspberrypi,1761205307.057,-25.20,,,,
RAW,1761205304.511,10.128.97.1,41821,A,raspberrypi,1761205307.558,-24.20,,,,
RAW,1761205305.024,10.128.97.1,41821,A,raspberrypi,1761205308.059,-28.90,,,,
RAW,1761205305.433,10.128.97.1,41821,A,raspberrypi,1761205308.560,-30.00,,,,
RAW,1761205305.944,10.128.97.1,41821,A,raspberrypi,1761205309.061,-29.20,,,,
RAW,1761205306.563,10.128.97.1,41821,A,raspberrypi,1761205309.562,-28.40,,,,
RAW,1761205306.969,10.128.97.1,41821,A,raspberrypi,1761205310.063,-26.10,,,,
RAW,1761205307.481,10.128.97.1,41821,A,raspberrypi,1761205310.564,-21.70,,,,
