host_ip,rssi_dbm,dist_m
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-71.00,2.500
172.20.10.2,-71.00,2.500
172.20.10.2,-71.00,2.500
172.20.10.2,-71.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-70.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-69.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
172.20.10.2,-68.00,2.500
