host_ip,rssi_dbm,dist_m
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-53.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-53.00,0.500
172.20.10.4,-53.00,0.500
172.20.10.4,-53.00,0.500
172.20.10.4,-53.00,0.500
172.20.10.4,-53.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-57.00,0.500
172.20.10.4,-57.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-54.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-56.00,0.500
172.20.10.4,-55.00,0.500
172.20.10.4,-55.00,0.500
